REVISION=1
NAME, DIM, DIM, DIM, 
16x16-6, 16.000, 16.000, 6.000, 
24x12-6, 24.000, 12.000, 6.000, 
12x12-6, 12.000, 12.000, 6.000, 
20x20-6, 20.000, 20.000, 6.000, 
24x24-6, 24.000, 24.000, 6.000, 
24x24-8, 24.000, 24.000, 8.000, 
24x24-10, 24.000, 24.000, 10.000, 
24x24-12, 24.000, 24.000, 12.000, 
24x24-14, 24.000, 24.000, 14.000, 
24x24-16, 24.000, 24.000, 16.000, 
48x24-6, 48.000, 24.000, 6.000, 
48x24-8, 48.000, 24.000, 8.000, 
48x24-10, 48.000, 24.000, 10.000, 
48x27-12, 48.000, 24.000, 12.000, 
48x24-14, 48.000, 24.000, 14.000, 
48x24-16, 48.000, 24.000, 16.000, 
