NAME	DIM1	DIM2	DIM3	DIM4
12x12-6x6	12	12	6	6
12x12-10x10	12	12	10	10
12x12-6	12	12	6	0
24x12-6x6	24	12	6	6
24x12-18x6	24	12	18	6
24x12-22x10	24	12	22	10
24x12-6 	24	12	6	0
16x16-6x6	16	16	6	6
16x16-8x8	16	16	8	8
16x16-14x14	16	16	14	14
16x16-6 	16	16	6	0
16x16-8 	16	16	8	0
16x16-10	16	16	10	0
20x20-6x6	20	20	6	6
20x20-8x8	20	20	8	8
20x20-10x10	20	20	10	10
20x20-6 	20	20	6	0
20x20-8 	20	20	8	0
20x20-10 	20	20	10	0
20x20-12	20	20	12	0
20x20-14	20	20	14	0
24x24-6x6	24	24	6	6
24x24-8x8	24	24	8	8
24x24-10x10	24	24	10	10
24x24-12x12	24	24	12	12
24x24-15x15	24	24	15	15
24x24-18x18	24	24	18	18
24x24-22x22	24	24	22	22
24x24-6 	24	24	6	0
24x24-8	24	24	8	0
24x24-10 	24	24	10	0
24x24-12 	24	24	12	0
24x24-14	24	24	14	0
24x24-16	24	24	16	0
48x24-6x6	48	24	6	6
48x24-8x8	48	24	8	8
48x24-10x10	48	24	10	10
48x24-12x12	48	24	12	12
48x24-15x15	48	24	15	15
48x24-46x22	48	24	46	22
48x24-6 	48	24	6	0
48x24-8 	48	24	8	0
48x24-10 	48	24	10	0
48x24-12 	48	24	12	0
48x24-14	48	24	14	0
48x24-16	48	24	16	0
